applicationData,action/applicationData,action/handle/identifier,action/handle/permission,action/handle/actionType,action/reachJointAngles/jointAngles/0/jointAngles/0/value,action/reachJointAngles/jointAngles/0/jointAngles/0/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/1/value,action/reachJointAngles/jointAngles/0/jointAngles/1/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/2/value,action/reachJointAngles/jointAngles/0/jointAngles/2/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/3/value,action/reachJointAngles/jointAngles/0/jointAngles/3/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/4/value,action/reachJointAngles/jointAngles/0/jointAngles/4/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/5/value,action/reachJointAngles/jointAngles/0/jointAngles/5/jointIdentifier,action/reachJointAngles/constraint/type,action/reachJointAngles/constraint/value,action/name,groupIdentifier
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10245,7,7,275.7057800292969,0,313.66680908203125,1,235.26805114746094,2,256.6600341796875,3,109.42398834228516,4,109.91807556152344,5,0,0,Snapshot (2022-02-02 20:51:33),0
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10248,7,7,275.6867370605469,0,325.9750061035156,1,241.04598999023438,2,353.0327453613281,3,357.33197021484375,4,109.91704559326172,5,0,0,Snapshot (2022-02-02 20:51:54),1
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10249,7,7,211.62806701660156,0,324.5733337402344,1,248.99595642089844,2,264.4306945800781,3,326.0692138671875,4,109.91775512695312,5,0,0,Snapshot (2022-02-02 20:51:57),2
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10250,7,7,209.15086364746094,0,317.9847412109375,1,289.2018737792969,2,166.30023193359375,3,268.1590881347656,4,109.91742706298828,5,0,0,Snapshot (2022-02-02 20:52:03),3
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10251,7,7,174.23118591308594,0,324.9905700683594,1,52.303592681884766,2,157.44837951660156,3,256.5626525878906,4,109.91709899902344,5,0,0,Snapshot (2022-02-02 20:52:10),4
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10252,7,7,110.87840270996094,0,315.7996520996094,1,76.55415344238281,2,157.45632934570312,3,250.98654174804688,4,109.91742706298828,5,0,0,Snapshot (2022-02-02 20:52:15),5
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10253,7,7,46.14833068847656,0,352.3897399902344,1,77.70538330078125,2,157.1524658203125,3,242.18276977539062,4,109.91731262207031,5,0,0,Snapshot (2022-02-02 20:52:18),6
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10254,7,7,46.707725524902344,0,284.4903259277344,1,95.51651000976562,2,162.65890502929688,3,323.73126220703125,4,109.91704559326172,5,0,0,Snapshot (2022-02-02 20:52:22),7
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10255,7,7,55.458126068115234,0,299.11102294921875,1,94.7065658569336,2,162.65994262695312,3,293.24822998046875,4,247.34898376464844,5,0,0,Snapshot (2022-02-02 20:52:34),8
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10256,7,7,118.10284423828125,0,313.7110595703125,1,76.183349609375,2,163.53939819335938,3,288.15472412109375,4,247.34915161132812,5,0,0,Snapshot (2022-02-02 20:52:39),9
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10257,7,7,125.99884033203125,0,310.41961669921875,1,59.35218048095703,2,93.56854248046875,3,262.30596923828125,4,295.4279479980469,5,0,0,Snapshot (2022-02-02 20:52:46),10
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10258,7,7,121.36174011230469,0,286.7604675292969,1,61.01889419555664,2,107.6653823852539,3,241.37106323242188,4,234.1235809326172,5,0,0,Snapshot (2022-02-02 20:52:52),11
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10259,7,7,105.09661865234375,0,9.380468368530273,1,17.28367805480957,2,21.375972747802734,3,239.74188232421875,4,156.04776000976562,5,0,0,Snapshot (2022-02-02 20:53:00),12
