applicationData,action/applicationData,action/handle/identifier,action/handle/permission,action/handle/actionType,action/reachJointAngles/jointAngles/0/jointAngles/0/value,action/reachJointAngles/jointAngles/0/jointAngles/0/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/1/value,action/reachJointAngles/jointAngles/0/jointAngles/1/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/2/value,action/reachJointAngles/jointAngles/0/jointAngles/2/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/3/value,action/reachJointAngles/jointAngles/0/jointAngles/3/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/4/value,action/reachJointAngles/jointAngles/0/jointAngles/4/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/5/value,action/reachJointAngles/jointAngles/0/jointAngles/5/jointIdentifier,action/reachJointAngles/constraint/type,action/reachJointAngles/constraint/value,action/name,groupIdentifier
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10196,7,7,100.45249938964844,0,0.5125426054000854,1,227.0679473876953,2,65.33180236816406,3,296.86517333984375,4,346.256591796875,5,0,0,Snapshot (2022-02-02 20:36:31),0
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10212,7,7,292.5484924316406,0,324.9024658203125,1,257.1769714355469,2,357.8326110839844,3,259.3512268066406,4,102.65899658203125,5,0,0,Snapshot (2022-02-02 20:38:17),1
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10198,7,7,100.45226287841797,0,0.0587158203125,1,227.06906127929688,2,65.33169555664062,3,246.40887451171875,4,346.2565002441406,5,0,0,Snapshot (2022-02-02 20:36:37),2
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10213,7,7,95.77371978759766,0,2.1854145526885986,1,246.22923278808594,2,29.42184829711914,3,293.7518615722656,4,11.402091026306152,5,0,0,Snapshot (2022-02-02 20:41:05),3
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10199,7,7,95.79774475097656,0,349.1931457519531,1,254.17837524414062,2,345.9563903808594,3,243.2227325439453,4,57.8917350769043,5,0,0,Snapshot (2022-02-02 20:36:47),4
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10200,7,7,96.3573989868164,0,309.36328125,1,289.19110107421875,2,298.80926513671875,3,267.71209716796875,4,12.33348560333252,5,0,0,Snapshot (2022-02-02 20:37:00),5
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10201,7,7,67.3604507446289,0,319.3639221191406,1,218.84732055664062,2,291.91180419921875,3,239.68067932128906,4,12.333540916442871,5,0,0,Snapshot (2022-02-02 20:37:07),6
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10202,7,7,67.35836791992188,0,330.4488220214844,1,248.31008911132812,2,291.91094970703125,3,325.9505615234375,4,12.33337688446045,5,0,0,Snapshot (2022-02-02 20:37:17),7
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10203,7,7,67.35831451416016,0,335.5340881347656,1,245.33738708496094,2,19.341487884521484,3,260.3466491699219,4,12.33348560333252,5,0,0,Snapshot (2022-02-02 20:37:26),8
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10204,7,7,135.13900756835938,0,330.6171875,1,263.0095520019531,2,32.58988952636719,3,249.06549072265625,4,12.33337688446045,5,0,0,Snapshot (2022-02-02 20:37:33),9
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10205,7,7,153.8043670654297,0,331.715087890625,1,299.36181640625,2,359.83489990234375,3,299.4640197753906,4,92.83268737792969,5,0,0,Snapshot (2022-02-02 20:37:41),10
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10206,7,7,153.80633544921875,0,28.758041381835938,1,277.3366394042969,2,357.9990234375,3,269.01849365234375,4,102.658447265625,5,0,0,Snapshot (2022-02-02 20:37:45),11
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10207,7,7,225.0727996826172,0,57.27747344970703,1,276.5257263183594,2,355.2315979003906,3,260.89788818359375,4,102.65899658203125,5,0,0,Snapshot (2022-02-02 20:37:53),12
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10208,7,7,255.84591674804688,0,21.114276885986328,1,259.5986328125,2,355.13665771484375,3,325.2952880859375,4,102.65894317626953,5,0,0,Snapshot (2022-02-02 20:38:02),13
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10209,7,7,249.7788848876953,0,34.54326629638672,1,254.27511596679688,2,73.58573150634766,3,22.435651779174805,4,102.6598129272461,5,0,0,Snapshot (2022-02-02 20:38:06),14
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10210,7,7,292.548583984375,0,39.74089431762695,1,246.87380981445312,2,60.18623733520508,3,264.8874816894531,4,102.65910339355469,5,0,0,Snapshot (2022-02-02 20:38:11),15
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10211,7,7,292.5492858886719,0,343.87860107421875,1,257.6814880371094,2,60.16209030151367,3,239.68002319335938,4,102.65904998779297,5,0,0,Snapshot (2022-02-02 20:38:14),16
